Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Graphic Designer,31645,4,High School,0.97,1.32,0.38,Medium,0.19,0.13,0.14,0.75,0.47,0.78,0.75,0.6,0.69,0.02
Customer Support,73262,2,PhD,0.64,0.51,0.71,High,0.85,0.68,0.27,0.69,0.79,0.31,0.04,0.93,0.35,0.11
Retail Worker,51730,25,High School,0.77,0.72,0.77,High,0.24,0.99,0.2,0.58,0.93,0.15,0.97,0.95,0.88,0.21
Security Guard,123878,5,Bachelor's,0.76,0.77,0.82,High,0.82,0.27,0.19,0.68,0.53,0.51,0.26,0.03,0.41,0.11
Software Engineer,89300,11,High School,0.04,0.93,0.32,Medium,0.1,0.66,0.65,0.03,0.0,0.08,0.76,0.58,0.04,0.49
Data Scientist,131971,5,Bachelor's,0.87,1.43,0.43,Medium,0.14,0.24,0.78,0.97,0.47,0.31,0.43,0.3,0.26,0.59
HR Specialist,113441,10,Bachelor's,0.26,1.16,0.31,Medium,0.08,0.29,0.88,0.76,0.02,0.5,0.27,0.65,0.72,0.86
Customer Support,87589,15,Bachelor's,0.99,1.48,0.92,High,0.57,0.4,0.36,0.01,0.25,0.72,0.6,0.92,0.05,0.16
Graphic Designer,113446,8,High School,0.73,1.31,0.64,Medium,0.99,0.29,0.71,0.12,0.41,0.85,0.37,0.59,0.5,0.65
Retail Worker,135301,25,Master's,0.06,1.07,0.92,High,0.48,0.08,0.56,0.33,0.15,0.85,0.52,0.93,0.81,0.69
Lawyer,118552,4,Master's,0.43,0.7,0.66,Medium,0.17,0.29,0.52,0.26,0.21,0.6,0.09,0.06,0.37,0.72
Marketing Manager,148977,29,PhD,0.42,1.07,0.45,Medium,0.94,0.05,0.67,0.89,0.8,0.18,0.3,0.72,0.08,0.81
UX Researcher,48715,17,Master's,0.73,0.6,0.59,Medium,0.68,0.83,0.04,0.02,0.37,0.15,0.56,0.92,0.39,0.84
HR Specialist,147045,19,PhD,0.17,0.53,0.43,Medium,0.91,0.1,0.61,0.45,0.94,0.12,0.21,0.03,0.43,0.28
Software Engineer,40196,16,High School,0.6,1.11,0.51,Medium,0.09,0.45,1.0,0.84,0.89,0.82,0.1,0.23,0.0,0.3
Truck Driver,141054,25,PhD,0.47,1.18,0.92,High,0.75,0.94,0.05,0.01,0.66,0.29,0.25,0.33,0.27,0.51
Customer Support,132785,24,PhD,0.51,1.17,0.8,High,0.25,0.17,0.35,0.74,0.76,0.67,0.23,0.59,0.57,0.48
UX Researcher,123249,23,Master's,0.49,1.07,0.59,Medium,0.11,0.75,0.14,0.07,0.98,0.96,0.06,0.44,0.19,0.49
Research Scientist,62500,21,Bachelor's,0.95,1.13,0.14,Low,0.6,0.31,0.91,0.87,0.56,0.32,0.29,0.03,0.82,0.45
Customer Support,136128,9,Bachelor's,0.49,1.41,0.91,High,0.15,0.71,0.44,0.25,0.69,0.74,0.18,0.91,0.75,0.93
AI Engineer,142109,8,Bachelor's,0.94,0.87,0.06,Low,0.76,0.7,0.6,0.49,0.03,0.62,0.42,0.56,0.43,0.97
UX Researcher,87737,25,Master's,0.75,1.44,0.54,Medium,0.01,0.03,0.7,0.28,0.58,0.2,0.27,0.5,0.98,0.62
Teacher,121903,0,Master's,0.96,0.71,0.13,Low,0.77,0.87,0.52,0.99,0.01,0.3,0.62,0.47,0.12,0.37
AI Engineer,141654,27,High School,0.64,1.39,0.27,Low,0.7,0.47,0.51,0.14,0.34,0.19,0.82,0.91,0.54,0.73
UX Researcher,50662,20,High School,0.61,1.2,0.48,Medium,0.24,0.88,0.74,0.9,0.82,0.99,0.19,0.09,0.34,0.13
Software Engineer,116755,1,Bachelor's,0.44,0.56,0.69,Medium,0.59,0.56,0.66,0.5,0.03,0.61,0.72,0.42,0.76,0.23
Data Scientist,133719,6,High School,0.16,0.87,0.64,Medium,0.83,0.38,0.59,0.72,0.24,0.17,0.97,0.62,0.98,0.34
HR Specialist,127427,21,Bachelor's,0.34,1.04,0.57,Medium,0.63,0.46,0.56,0.28,0.02,0.63,0.25,0.67,0.75,0.92
Chef,130628,7,PhD,0.01,1.49,0.57,Medium,0.64,0.02,0.86,0.15,0.84,0.02,0.65,0.43,0.2,0.11
Teacher,43686,3,High School,0.12,0.99,0.21,Low,0.83,0.68,0.07,0.31,0.29,0.92,0.87,0.37,0.07,0.89
Research Scientist,57313,26,PhD,0.85,1.35,0.17,Low,0.18,0.48,0.49,0.49,0.54,0.26,0.37,0.43,0.13,0.46
UX Researcher,91404,6,Master's,0.83,0.91,0.51,Medium,0.03,0.67,0.4,0.45,0.87,0.46,0.02,0.23,0.48,0.42
Financial Analyst,109794,20,Bachelor's,0.54,1.19,0.49,Medium,0.44,0.45,0.41,0.54,0.25,0.89,0.33,0.15,0.1,0.01
HR Specialist,49416,8,PhD,0.19,0.52,0.51,Medium,0.68,0.09,0.46,0.74,0.99,0.67,0.24,0.72,0.6,0.21
Nurse,56162,9,High School,0.43,1.46,0.23,Low,0.64,0.73,0.48,0.51,0.85,0.68,0.9,0.89,0.98,0.7
Customer Support,85420,4,Bachelor's,0.17,1.21,0.77,High,0.28,0.24,0.88,0.87,0.63,0.47,0.67,0.61,0.42,0.38
Financial Analyst,82948,4,Bachelor's,0.59,1.15,0.48,Medium,0.97,0.08,0.35,0.42,0.02,0.36,0.27,0.51,0.34,0.73
Nurse,91336,8,PhD,0.16,1.29,0.3,Low,0.02,0.7,0.25,0.04,0.4,0.94,0.01,0.59,0.5,0.87
HR Specialist,104474,16,Master's,0.68,1.18,0.57,Medium,0.94,0.82,0.04,0.47,0.4,0.31,0.45,0.38,0.43,0.98
Customer Support,72628,8,Master's,0.92,0.98,0.86,High,0.83,0.36,0.43,0.41,0.37,0.93,0.83,0.11,0.11,0.43
Research Scientist,135494,19,High School,0.62,0.64,0.18,Low,0.01,0.32,0.68,0.48,0.98,0.87,0.36,0.05,0.85,0.91
Mechanic,71751,2,High School,0.37,0.58,0.59,Medium,0.0,0.05,0.0,0.65,0.42,0.3,0.91,0.19,0.39,0.94
Truck Driver,86087,1,High School,0.55,0.58,0.9,High,0.42,0.8,0.25,0.42,0.79,0.97,0.06,0.81,0.3,0.55
Nurse,127425,29,High School,0.61,0.85,0.13,Low,0.04,0.15,0.92,1.0,0.78,0.29,0.4,0.74,0.97,0.46
Data Scientist,133587,16,Bachelor's,0.43,0.99,0.67,Medium,0.52,0.49,0.58,0.69,0.11,0.82,0.44,0.07,0.79,0.38
Security Guard,140373,5,Master's,0.63,1.38,0.92,High,0.96,0.87,0.0,0.38,0.82,0.37,0.6,0.61,0.37,0.9
AI Engineer,133080,14,Bachelor's,0.13,1.09,0.21,Low,0.05,0.24,0.8,0.05,0.86,0.66,0.43,0.35,0.02,0.83
Chef,123012,20,PhD,0.31,1.07,0.4,Medium,0.5,0.81,0.47,0.95,0.85,0.33,0.4,0.42,0.63,0.29
Financial Analyst,76629,11,Master's,0.61,0.9,0.56,Medium,0.4,0.82,0.57,0.04,0.18,0.86,0.56,0.95,0.07,0.3
Financial Analyst,33811,3,PhD,0.55,0.88,0.36,Medium,0.64,0.54,0.27,0.48,0.75,0.21,0.29,0.35,0.75,0.85
Teacher,95283,4,High School,0.3,1.39,0.3,Low,0.67,0.99,0.66,0.73,0.39,0.43,0.14,0.82,0.93,0.62
Nurse,113205,1,High School,0.15,0.77,0.11,Low,0.61,0.95,0.05,0.0,0.6,0.28,0.88,0.33,0.29,0.27
HR Specialist,100453,28,Bachelor's,0.58,0.67,0.47,Medium,0.46,0.02,0.02,0.52,0.7,0.94,0.18,0.1,0.05,0.44
Nurse,68397,14,Master's,0.84,1.18,0.1,Low,0.46,0.91,0.33,0.5,0.96,0.73,0.75,0.25,0.41,0.08
Lawyer,113824,10,Bachelor's,0.1,1.34,0.63,Medium,0.53,0.14,0.03,0.8,0.6,0.71,0.3,0.51,0.75,0.46
Data Scientist,50758,26,Bachelor's,0.79,0.72,0.33,Medium,0.53,0.06,0.77,0.72,0.88,0.64,0.07,0.25,0.81,0.17
Mechanic,135900,8,Master's,0.78,0.83,0.43,Medium,0.56,0.86,0.22,0.94,0.6,0.99,0.09,0.13,0.83,0.86
AI Engineer,133613,11,PhD,0.71,1.37,0.06,Low,0.57,0.85,0.4,0.3,0.8,0.34,0.0,0.96,0.59,0.82
HR Specialist,93115,10,High School,0.07,0.67,0.42,Medium,0.32,0.66,0.62,0.49,0.21,0.38,0.54,0.47,0.13,0.65
Research Scientist,129683,11,Master's,0.38,1.21,0.06,Low,0.57,0.33,0.01,0.19,0.94,0.52,1.0,0.52,0.54,0.39
Marketing Manager,83013,15,Bachelor's,0.25,0.84,0.48,Medium,0.19,0.22,0.27,0.45,0.65,0.86,0.29,0.18,0.38,0.89
Teacher,45233,16,High School,0.68,0.98,0.09,Low,0.32,0.22,0.88,0.48,0.56,0.59,0.64,0.5,0.02,0.33
Nurse,50765,19,PhD,0.68,0.56,0.19,Low,0.21,0.95,0.34,0.33,0.92,0.42,0.96,0.02,0.31,0.67
Retail Worker,108766,18,Bachelor's,0.14,0.85,0.8,High,0.51,0.93,0.87,0.13,0.17,0.36,0.29,0.61,0.9,0.96
Truck Driver,64297,16,High School,0.84,1.03,0.75,High,0.52,0.56,0.74,0.22,0.37,0.36,0.96,0.44,0.76,0.75
HR Specialist,76126,10,High School,0.57,1.39,0.49,Medium,0.95,0.21,0.07,0.89,0.85,0.99,0.68,0.94,0.83,0.84
Teacher,112694,27,Master's,0.38,1.43,0.16,Low,0.54,0.45,0.56,0.47,0.05,0.88,0.44,0.59,0.14,0.0
Doctor,117287,21,High School,0.7,0.6,0.28,Low,0.22,0.2,0.18,0.01,0.77,0.88,0.61,0.19,0.29,0.48
Nurse,31082,12,Bachelor's,0.25,1.23,0.16,Low,0.3,0.46,0.07,0.8,0.24,0.73,0.07,0.96,0.19,0.88
Security Guard,137252,23,Bachelor's,0.97,0.98,0.88,High,0.37,0.18,0.44,0.17,0.98,0.1,0.59,0.63,0.54,0.66
Financial Analyst,31511,17,Bachelor's,0.56,0.79,0.68,Medium,0.76,0.97,0.04,0.29,0.2,0.01,0.24,0.68,0.23,0.51
Truck Driver,33145,9,Master's,0.69,0.89,0.79,High,0.46,0.18,0.63,0.36,0.85,0.76,0.61,0.36,0.21,0.78
Software Engineer,115642,19,PhD,0.22,0.7,0.37,Medium,0.78,0.23,0.53,0.45,0.58,0.88,0.87,0.45,0.02,0.43
Doctor,128303,9,Bachelor's,0.56,1.15,0.09,Low,0.65,0.18,0.75,0.34,0.71,0.05,0.41,0.71,0.23,0.8
Construction Worker,81142,16,Bachelor's,0.59,0.85,0.82,High,0.6,0.47,0.7,0.43,0.2,0.21,0.01,0.3,0.75,0.79
Research Scientist,89817,13,PhD,0.96,1.0,0.28,Low,0.71,0.72,0.09,0.22,0.01,0.72,0.34,0.79,0.34,0.82
Lawyer,124410,0,Master's,0.17,0.84,0.46,Medium,0.35,0.76,0.1,0.35,0.84,0.07,0.94,0.99,0.09,0.29
Chef,138139,15,Bachelor's,0.78,1.1,0.56,Medium,0.76,0.12,0.83,0.71,0.58,0.89,0.7,0.2,0.43,0.49
Research Scientist,78657,18,PhD,0.95,0.63,0.22,Low,0.51,0.03,0.92,0.85,0.52,0.23,0.12,0.36,0.26,0.51
Truck Driver,69309,8,PhD,0.57,1.39,0.86,High,0.48,0.85,0.47,0.87,0.29,0.13,0.86,0.59,0.89,0.94
UX Researcher,68669,17,Master's,0.49,1.36,0.34,Medium,0.45,0.29,0.1,0.76,0.51,0.56,0.41,0.46,0.12,0.67
Truck Driver,87033,27,PhD,0.82,0.7,0.75,High,0.65,0.85,0.47,0.73,1.0,0.99,0.74,0.74,0.25,0.83
Teacher,80658,5,PhD,0.96,0.58,0.16,Low,0.56,0.41,0.21,0.59,0.76,0.64,0.23,0.73,0.26,0.18
Software Engineer,136081,29,High School,0.84,0.98,0.51,Medium,0.3,0.49,0.13,0.96,0.8,0.67,0.54,0.79,0.49,0.3
Software Engineer,48728,11,Bachelor's,0.65,1.43,0.36,Medium,0.18,0.43,0.81,0.29,0.25,0.62,0.54,0.06,0.08,0.64
HR Specialist,52286,15,High School,0.97,1.18,0.3,Low,0.48,0.41,0.11,0.92,0.81,0.23,0.26,0.03,0.3,0.58
Financial Analyst,55727,28,PhD,0.19,1.4,0.38,Medium,0.03,0.02,0.62,0.66,0.31,0.32,0.34,0.68,0.06,0.93
Marketing Manager,104638,10,Master's,1.0,0.67,0.61,Medium,0.22,0.08,0.87,0.86,0.4,0.7,0.56,0.85,0.32,0.52
Data Scientist,119363,1,PhD,0.35,1.39,0.37,Medium,0.15,0.58,0.66,0.19,0.39,0.95,0.25,0.67,0.74,0.45
Construction Worker,141597,26,Bachelor's,0.74,0.96,0.84,High,0.69,0.59,0.88,0.36,0.3,0.21,0.04,0.04,0.87,0.68
Marketing Manager,72756,18,PhD,0.61,1.35,0.49,Medium,0.87,0.36,0.93,0.7,0.26,0.56,0.53,0.14,0.59,0.31
Research Scientist,77774,10,High School,0.95,1.14,0.27,Low,0.68,0.36,0.51,0.68,0.96,0.25,0.87,0.92,0.67,0.93
Retail Worker,119865,12,Master's,0.95,1.2,0.71,High,0.91,0.48,0.46,0.57,0.15,0.47,0.83,0.02,0.27,0.0
AI Engineer,33692,25,High School,0.73,1.3,0.29,Low,0.61,0.25,0.92,0.78,0.57,0.7,0.92,0.71,0.37,0.71
Research Scientist,139419,4,PhD,0.39,0.91,0.09,Low,0.02,0.13,0.65,0.8,0.99,0.35,0.6,0.94,0.17,0.72
Truck Driver,48782,6,Bachelor's,0.09,1.36,0.9,High,0.03,0.09,0.05,0.33,0.51,0.53,0.27,0.91,0.37,0.05
Retail Worker,140349,14,Master's,0.53,0.91,0.77,High,0.13,0.82,1.0,0.33,0.38,0.62,0.72,0.39,0.9,0.56
Software Engineer,80075,22,Bachelor's,0.65,1.45,0.62,Medium,0.04,0.33,0.47,0.31,0.7,0.83,0.73,0.99,0.27,0.87
Mechanic,120629,22,Bachelor's,0.36,1.23,0.34,Medium,0.79,0.53,0.29,0.66,0.64,0.21,0.03,0.43,0.57,0.88
AI Engineer,135899,24,Bachelor's,0.53,1.25,0.16,Low,0.75,0.2,0.37,0.63,0.02,0.72,0.84,0.4,0.45,0.85
Marketing Manager,115333,1,Master's,0.29,0.82,0.57,Medium,0.56,0.16,0.31,0.9,0.69,0.99,0.77,0.94,0.22,0.77
Mechanic,93908,22,Master's,0.67,0.97,0.44,Medium,0.86,0.85,0.02,0.61,0.37,0.42,0.83,0.31,0.94,0.18
Retail Worker,41564,3,Master's,0.67,0.75,0.78,High,0.83,0.76,0.33,0.53,0.06,0.21,0.49,0.09,0.84,0.72
Truck Driver,144507,9,High School,0.56,1.09,0.79,High,0.28,0.27,0.17,0.33,0.2,0.63,0.57,0.38,0.33,0.24
Graphic Designer,147679,29,Master's,0.92,1.19,0.6,Medium,0.83,0.35,0.06,0.62,0.19,0.57,0.74,0.78,0.3,0.51
Research Scientist,132811,12,Master's,0.82,1.26,0.3,Low,0.01,0.44,0.26,0.12,0.91,1.0,0.18,0.04,0.28,0.83
UX Researcher,54940,26,Master's,0.06,0.55,0.47,Medium,0.93,0.29,0.43,0.1,0.49,0.7,0.27,0.3,0.84,0.01
Software Engineer,144326,14,PhD,0.39,0.8,0.56,Medium,0.83,0.56,0.03,0.46,0.46,0.54,0.67,0.02,0.5,0.59
Nurse,30511,18,Master's,0.67,0.73,0.13,Low,0.96,0.35,0.35,0.6,0.97,0.98,0.58,0.0,0.9,0.57
Software Engineer,49359,26,Bachelor's,0.9,0.77,0.41,Medium,0.3,0.61,0.44,0.73,0.89,0.67,0.2,0.93,0.26,0.15
Mechanic,36265,15,High School,0.56,0.61,0.36,Medium,0.3,0.28,0.6,0.82,0.76,0.26,0.25,0.97,0.01,0.88
Lawyer,122313,25,Master's,0.95,0.84,0.48,Medium,0.71,0.59,0.32,0.55,0.73,0.04,0.01,0.46,0.13,0.66
Chef,39280,1,PhD,0.43,0.7,0.52,Medium,0.12,0.02,0.05,0.95,0.14,0.71,0.07,0.11,0.51,0.46
Construction Worker,80281,26,Bachelor's,0.94,1.28,0.85,High,0.45,0.36,0.95,0.6,0.58,0.23,0.05,0.95,0.31,0.44
UX Researcher,98354,16,High School,0.84,0.53,0.63,Medium,0.14,0.89,0.73,0.16,0.57,0.31,0.18,0.86,0.4,0.4
Financial Analyst,140951,11,High School,0.38,1.37,0.45,Medium,0.95,0.95,0.14,0.18,0.86,0.39,0.0,0.27,0.6,0.8
Retail Worker,145131,22,Master's,0.11,1.42,0.89,High,0.59,0.77,0.43,0.76,0.37,0.24,0.73,0.42,0.98,0.35
Nurse,51529,7,Bachelor's,0.93,0.74,0.25,Low,0.43,0.92,0.45,0.74,0.47,0.23,0.2,0.43,0.76,0.61
Retail Worker,30594,25,Master's,0.28,0.98,0.71,High,0.82,0.99,0.41,0.01,0.17,0.65,0.61,0.79,0.25,0.76
Retail Worker,142770,22,Master's,0.32,1.05,0.74,High,0.45,0.88,0.42,0.84,0.59,0.19,0.58,0.51,0.4,0.12
Marketing Manager,122995,5,High School,0.07,0.6,0.47,Medium,0.31,0.93,0.38,0.76,0.53,0.7,0.26,0.94,0.53,0.83
Research Scientist,137126,7,Master's,0.1,1.17,0.05,Low,0.48,0.19,0.63,0.98,0.46,0.82,0.51,0.5,0.93,0.89
Customer Support,44372,26,Bachelor's,0.12,0.8,0.94,High,0.63,0.55,0.71,0.42,0.76,0.39,0.83,0.27,0.28,0.52
Nurse,53795,7,Master's,0.65,0.86,0.11,Low,0.47,0.56,0.14,0.56,0.32,0.39,0.28,0.93,0.68,0.26
Security Guard,80697,15,Bachelor's,0.85,0.9,0.91,High,0.15,0.82,0.54,0.22,0.41,0.99,0.78,0.58,0.12,0.42
Graphic Designer,118078,13,PhD,0.07,1.04,0.66,Medium,0.68,0.25,0.57,0.94,0.72,0.69,0.97,0.8,0.14,0.35
Nurse,125773,28,Master's,0.49,0.61,0.16,Low,0.7,1.0,0.32,0.51,0.88,0.36,0.11,0.95,0.49,0.5
Data Scientist,93766,10,PhD,0.0,1.43,0.44,Medium,0.4,0.17,0.38,0.8,0.8,0.94,0.4,0.71,0.51,0.8
Truck Driver,105569,0,Bachelor's,0.37,0.84,0.76,High,0.58,0.96,0.2,0.1,0.12,0.78,0.35,0.22,0.35,0.65
Teacher,45782,19,Bachelor's,0.74,0.84,0.16,Low,0.1,0.07,0.46,0.3,0.61,0.04,0.12,0.87,0.57,0.71
Construction Worker,127288,12,High School,0.46,1.26,0.83,High,0.22,0.34,0.49,0.32,0.34,0.34,0.12,0.08,0.05,0.11
Security Guard,107865,2,Master's,0.59,0.69,0.92,High,0.81,0.52,0.72,0.37,0.04,0.9,0.13,0.95,0.57,0.31
AI Engineer,75986,27,PhD,0.5,0.52,0.14,Low,0.74,0.51,0.24,0.34,0.86,0.53,0.53,0.96,0.32,0.48
HR Specialist,60276,19,Master's,0.76,0.77,0.36,Medium,0.7,0.26,0.92,0.13,0.32,0.05,0.7,0.89,0.64,0.94
Financial Analyst,137294,2,High School,0.09,1.34,0.64,Medium,0.83,0.8,0.36,0.22,0.93,0.31,0.4,0.7,0.29,0.82
Graphic Designer,147272,3,PhD,0.79,1.1,0.53,Medium,0.46,0.28,0.46,0.45,0.58,0.28,0.08,0.15,0.7,0.02
Mechanic,45819,24,PhD,0.62,0.98,0.46,Medium,0.99,0.82,0.43,0.73,0.27,0.1,0.35,0.4,0.02,0.81
AI Engineer,36473,18,Bachelor's,0.58,0.57,0.09,Low,0.89,0.61,0.95,1.0,0.37,0.3,0.86,1.0,0.63,0.8
Retail Worker,62556,27,Master's,0.36,1.07,0.91,High,0.69,0.02,0.34,0.14,0.23,0.91,0.04,0.22,0.31,0.62
Research Scientist,88209,7,Bachelor's,0.22,0.66,0.11,Low,0.5,0.27,0.95,0.46,0.06,0.73,0.33,0.65,0.28,0.57
Lawyer,147067,23,PhD,0.93,0.76,0.43,Medium,0.46,0.93,0.9,0.09,0.13,0.5,0.11,0.35,0.15,0.64
Lawyer,38699,3,High School,1.0,0.88,0.54,Medium,0.86,0.12,0.69,0.41,0.21,0.4,0.08,0.7,0.25,0.31
Data Scientist,107593,25,Master's,0.86,0.99,0.53,Medium,0.57,0.41,0.19,0.75,0.13,0.1,0.71,0.21,0.31,0.48
Security Guard,75076,18,PhD,0.71,1.12,0.86,High,0.71,0.29,0.32,0.44,0.31,0.98,0.81,0.16,0.01,0.04
Software Engineer,91743,6,Bachelor's,0.11,1.03,0.64,Medium,0.74,0.22,0.4,0.51,0.81,0.84,0.91,0.51,0.69,0.11
Graphic Designer,80924,10,PhD,0.25,0.93,0.55,Medium,0.26,0.05,0.01,0.02,0.01,0.11,0.24,0.22,0.99,0.31
Research Scientist,72500,19,PhD,0.55,1.36,0.22,Low,0.3,0.56,0.71,0.73,0.67,0.87,0.87,0.58,0.43,0.64
Data Scientist,52380,16,PhD,0.01,1.49,0.37,Medium,0.47,0.87,0.23,0.48,0.13,0.4,0.18,0.36,0.37,0.99
Graphic Designer,34355,5,Bachelor's,0.11,1.23,0.32,Medium,0.03,0.11,0.97,0.94,0.19,0.16,0.24,0.52,0.57,0.22
UX Researcher,32035,15,Master's,0.31,1.42,0.56,Medium,0.44,0.79,0.82,0.29,0.34,0.94,0.16,0.04,0.45,0.8
HR Specialist,32665,17,PhD,0.92,1.03,0.34,Medium,0.59,0.78,0.09,0.17,0.01,0.59,0.89,0.67,0.98,0.06
Financial Analyst,100739,14,Bachelor's,0.81,0.81,0.69,Medium,0.29,0.89,0.88,0.76,0.56,0.12,0.53,0.36,0.79,0.76
Doctor,128560,24,Master's,0.71,0.98,0.2,Low,0.99,0.6,0.79,0.73,0.7,0.72,0.45,0.47,0.47,0.03
Data Scientist,59974,11,Master's,0.15,1.39,0.41,Medium,0.14,0.12,0.7,0.01,0.47,0.12,0.85,0.96,0.96,0.44
Teacher,90521,1,High School,0.6,0.85,0.16,Low,0.06,0.8,0.24,0.46,0.48,0.56,0.82,0.69,0.66,0.53
Software Engineer,66476,11,Master's,0.4,1.46,0.7,Medium,0.73,0.23,0.1,0.41,0.86,0.72,0.88,0.62,0.13,0.11
Software Engineer,82271,11,PhD,0.24,1.23,0.57,Medium,0.32,0.18,0.1,0.74,0.45,0.32,0.86,0.59,0.52,0.74
Chef,33743,23,Master's,0.69,0.94,0.45,Medium,0.77,0.52,0.7,0.89,0.92,0.28,0.19,0.26,0.75,0.37
Marketing Manager,111256,7,PhD,0.1,0.83,0.35,Medium,0.16,0.68,0.02,0.12,0.84,0.84,0.33,0.09,0.7,0.36
Software Engineer,132859,26,Master's,0.16,0.64,0.54,Medium,0.9,0.79,0.55,0.42,0.62,0.44,0.25,0.68,0.87,0.37
AI Engineer,99810,10,High School,0.43,0.9,0.06,Low,0.7,0.81,0.66,0.15,0.1,0.57,0.4,0.43,0.97,0.72
UX Researcher,90360,6,Master's,0.02,0.53,0.57,Medium,0.84,0.71,0.41,0.03,0.97,0.99,0.55,0.07,0.54,0.89
AI Engineer,130290,4,High School,0.72,0.58,0.08,Low,0.13,0.9,0.53,0.79,0.12,0.93,0.82,0.22,0.87,0.26
Customer Support,105656,22,Bachelor's,0.84,0.67,0.72,High,0.4,0.58,0.85,0.97,0.44,0.06,0.75,0.57,0.45,0.31
Doctor,107982,0,Master's,0.34,1.26,0.19,Low,0.88,0.54,0.24,0.85,0.56,0.21,0.62,0.36,0.84,0.45
Marketing Manager,33970,13,PhD,0.1,0.9,0.69,Medium,0.81,0.16,0.28,0.33,0.65,0.76,0.75,0.51,0.81,0.44
Truck Driver,71753,26,PhD,0.56,1.45,0.9,High,0.58,0.65,0.93,0.43,0.33,0.98,0.86,0.32,0.46,0.42
Graphic Designer,104354,6,Master's,0.96,0.9,0.65,Medium,0.19,0.55,0.02,0.76,0.58,0.63,0.05,0.21,0.07,0.29
Construction Worker,35280,20,Bachelor's,0.44,0.75,0.89,High,0.63,0.77,0.32,0.74,0.86,0.35,0.34,0.9,0.05,0.35
Research Scientist,116545,27,Bachelor's,0.03,0.61,0.16,Low,0.69,0.29,0.85,0.44,0.97,0.95,0.77,0.93,0.71,0.9
AI Engineer,131041,12,Bachelor's,0.35,1.25,0.16,Low,0.84,0.88,0.3,0.82,0.15,0.33,0.52,0.23,0.58,0.58
Software Engineer,134087,23,Bachelor's,0.8,1.13,0.43,Medium,0.23,0.88,0.84,0.23,0.04,0.8,0.62,0.1,0.59,0.45
AI Engineer,90985,20,PhD,0.21,0.95,0.09,Low,0.96,0.78,0.74,0.69,0.42,0.92,0.07,0.8,0.22,0.32
Truck Driver,118257,6,Bachelor's,0.78,1.34,0.85,High,0.4,0.95,0.25,0.8,0.61,0.38,0.0,0.45,0.28,0.1
Teacher,134294,23,Bachelor's,0.35,1.11,0.26,Low,0.18,0.42,0.39,0.51,0.81,0.55,0.85,0.52,0.6,0.44
Lawyer,55666,18,Bachelor's,0.92,1.14,0.63,Medium,0.06,0.91,0.19,0.26,0.05,0.97,0.85,0.91,0.85,0.48
Security Guard,71516,25,High School,0.97,1.0,0.74,High,0.66,0.98,0.87,0.86,0.93,0.89,0.78,0.72,0.26,0.62
Nurse,48226,18,Bachelor's,0.86,0.99,0.08,Low,0.0,0.68,0.55,0.33,0.17,0.47,0.1,0.34,0.38,0.47
AI Engineer,60011,16,Master's,0.26,1.35,0.14,Low,0.23,0.18,0.32,0.07,0.03,0.61,0.62,0.53,0.76,0.04
Chef,136979,15,Master's,0.86,1.43,0.34,Medium,0.11,0.03,0.1,0.21,0.97,0.67,0.78,0.78,0.54,0.8
Construction Worker,85215,21,Bachelor's,0.31,1.06,0.83,High,0.82,0.98,0.41,0.76,0.1,0.78,0.37,0.04,0.36,0.61
Software Engineer,107255,21,Bachelor's,0.92,0.58,0.67,Medium,0.71,0.33,0.39,0.74,0.6,0.67,0.39,0.49,0.99,0.21
Retail Worker,70821,27,High School,0.29,1.27,0.89,High,0.29,0.08,0.01,0.43,0.41,0.99,0.47,0.26,0.89,0.49
Customer Support,133185,18,Master's,0.1,0.88,0.94,High,0.59,0.34,0.63,0.91,0.27,0.51,0.96,0.17,0.72,0.61
Construction Worker,107929,6,Master's,0.35,0.81,0.87,High,0.22,0.42,0.19,0.01,0.97,0.43,0.97,0.14,0.59,0.2
Security Guard,49523,29,Master's,0.58,1.2,0.86,High,0.05,0.1,0.13,0.09,0.18,0.69,0.83,0.41,0.69,0.2
Construction Worker,88188,24,High School,0.35,1.35,0.94,High,0.86,0.07,0.65,0.12,0.01,0.05,0.92,0.91,0.23,0.55
Doctor,77969,6,Bachelor's,0.5,0.89,0.17,Low,0.79,0.48,0.78,0.43,0.25,0.33,0.08,0.5,0.15,0.81
Lawyer,149528,12,Master's,0.77,1.45,0.64,Medium,0.95,0.57,0.17,0.94,0.87,0.86,0.69,0.62,0.01,0.75
Lawyer,85416,27,High School,0.26,1.05,0.48,Medium,0.02,0.82,0.88,0.68,0.54,0.96,0.12,0.74,0.13,0.38
AI Engineer,50491,14,High School,0.74,0.5,0.12,Low,0.54,0.53,0.64,0.3,0.54,0.19,0.19,0.58,0.69,0.12
HR Specialist,105955,11,Bachelor's,0.57,0.77,0.46,Medium,0.4,0.18,0.0,0.85,0.72,0.69,0.55,0.7,0.94,0.67
HR Specialist,97519,26,High School,0.57,0.94,0.52,Medium,0.52,0.86,0.65,0.19,0.06,0.42,0.02,0.32,0.37,0.38
Data Scientist,74775,17,PhD,0.3,0.77,0.35,Medium,0.51,0.15,0.62,0.16,0.58,0.83,0.04,0.42,0.46,0.79
